PO Number;PO Line;Cycle;Year;Zone;Region;Area;Wcode;Sales Point;Item Name;Catergory;Item Code;Brand;Brand SKU;Brand Name PO;Length;Width;Quantity;Order Date;Production Start Date;Production Finish Date;Shipment Date;Est. Received Date;Received Date Based on CPT;DN Number;Entity;;Track;QTY Received ;QTY Received  Final;Received Date;Remark;QTY Out;Qty Produce;Qty in Transit;Qty Delivered;Received Date
5701713729;10;C1;2026;Jakarta;Jakarta Outer;Rangkasbitung;WH077;Rangkasbitung;GT Stand Alone - TTD Medium (H) - 20x58 cm - Art Carton - MLA16 35K;;2026-00195038-0025;A Mild all variant;;MLA16 35K;;;21;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;10;C1;2026;Jakarta;Jakarta Outer;Serang;WH068;Serang;GT Stand Alone - TTD Medium (H) - 20x58 cm - Art Carton - MLA16 35K;;2026-00195038-0025;A Mild all variant;;MLA16 35K;;;21;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;10;C1;2026;Jakarta;Jakarta Outer;Tangerang;WH057;Tangerang;GT Stand Alone - TTD Medium (H) - 20x58 cm - Art Carton - MLA16 35K;;2026-00195038-0025;A Mild all variant;;MLA16 35K;;;24;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;11;C1;2026;Jakarta;Jakarta Outer;Bekasi;WH075;Bekasi;GT Stand Alone - TTD Fit (H) - 15x40 cm - Art Carton - MLA16 35K;;2026-00195038-0026;A Mild all variant;;MLA16 35K;;;1350;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;11;C1;2026;Jakarta;Jakarta Outer;Bogor;WH060;Bogor;GT Stand Alone - TTD Fit (H) - 15x40 cm - Art Carton - MLA16 35K;;2026-00195038-0026;A Mild all variant;;MLA16 35K;;;2106;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;11;C1;2026;Jakarta;Jakarta Outer;Karawang;WH066;Karawang;GT Stand Alone - TTD Fit (H) - 15x40 cm - Art Carton - MLA16 35K;;2026-00195038-0026;A Mild all variant;;MLA16 35K;;;912;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;11;C1;2026;Jakarta;Jakarta Outer;Rangkasbitung;WH077;Rangkasbitung;GT Stand Alone - TTD Fit (H) - 15x40 cm - Art Carton - MLA16 35K;;2026-00195038-0026;A Mild all variant;;MLA16 35K;;;576;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;11;C1;2026;Jakarta;Jakarta Outer;Serang;WH068;Serang;GT Stand Alone - TTD Fit (H) - 15x40 cm - Art Carton - MLA16 35K;;2026-00195038-0026;A Mild all variant;;MLA16 35K;;;708;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;11;C1;2026;Jakarta;Jakarta Outer;Tangerang;WH057;Tangerang;GT Stand Alone - TTD Fit (H) - 15x40 cm - Art Carton - MLA16 35K;;2026-00195038-0026;A Mild all variant;;MLA16 35K;;;1422;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;12;C1;2026;Jakarta;Jakarta Outer;Karawang;WH066;Karawang;WS Mitra Sampoerna - Header Backwall (H) - 44.5x46.5 cm - Photopaper - MLA16 35K;;2026-00195038-0030;A Mild all variant;;MLA16 35K;;;33;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;12;C1;2026;Jakarta;Jakarta Outer;Rangkasbitung;WH077;Rangkasbitung;WS Mitra Sampoerna - Header Backwall (H) - 44.5x46.5 cm - Photopaper - MLA16 35K;;2026-00195038-0030;A Mild all variant;;MLA16 35K;;;18;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;12;C1;2026;Jakarta;Jakarta Outer;Serang;WH068;Serang;WS Mitra Sampoerna - Header Backwall (H) - 44.5x46.5 cm - Photopaper - MLA16 35K;;2026-00195038-0030;A Mild all variant;;MLA16 35K;;;12;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;13;C1;2026;Jakarta;Jakarta Outer;Karawang;WH066;Karawang;WS Mitra Sampoerna - Header Backwall (H) - 44.5x96.5 cm - Photopaper - MLA16 35K;;2026-00195038-0031;A Mild all variant;;MLA16 35K;;;21;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;13;C1;2026;Jakarta;Jakarta Outer;Rangkasbitung;WH077;Rangkasbitung;WS Mitra Sampoerna - Header Backwall (H) - 44.5x96.5 cm - Photopaper - MLA16 35K;;2026-00195038-0031;A Mild all variant;;MLA16 35K;;;11;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
5701713729;13;C1;2026;Jakarta;Jakarta Outer;Serang;WH068;Serang;WS Mitra Sampoerna - Header Backwall (H) - 44.5x96.5 cm - Photopaper - MLA16 35K;;2026-00195038-0031;A Mild all variant;;MLA16 35K;;;9;;;;;;;;PT HM Sampoerna Tbk;;;;;;;;;;;
